火腿黄油三明治	ジャンボンブール	Jambon-Beurre	馅料仅有火腿和黄油的简单三明治。正因为其朴素，所以偷工减料定会被识破。
高级咖喱＆面条三明治	ハイパーカレー＆ヌードルサンド	Ultra Curry-and-Noodle Sandwich	蛋让本来辛辣的味道变得十分柔和。
大师咖喱＆面条三明治	マスターカレー＆ヌードルサンド	Master Curry-and-Noodle Sandwich	美味与否取决于淡淡的甜味。味道酝酿出了底蕴与层次感。
巨无霸三明治	タワーサンド	Tower Sandwich	极为暴力的三明治。份量才是正义。
超级巨无霸三明治	スーパータワーサンド	Great Tower Sandwich	想法以份量为中心的三明治。而对味道并无什么特别需要提及的。
高级巨无霸三明治	ハイパータワーサンド	Ultra Tower Sandwich	只执着于份量的三明治。根据调味也能做得美味。
大师巨无霸三明治	マスタータワーサンド	Master Tower Sandwich	托调味料的福，这款三明治不仅份量大，味道也不错。
寿司风三明治	スシふうサンド	Sushi Sandwich	以寿司为目标做出的三明治。味道意外地好，希望这能让人惊讶。
超级寿司风三明治	スーパースシふうサンド	Great Sushi Sandwich	参考寿司制作出的三明治。豆瓣菜的苦味很突出。
高级寿司风三明治	ハイパースシふうサンド	Ultra Sushi Sandwich	寿司爱好者想出来的三明治。其份量也是魅力之一。
大师寿司风三明治	マスタースシふうサンド	Master Sushi Sandwich	完美的寿司三明治。清爽的酸味堪称极品。
